id,title,link,source_type,journal,authors,doi,publishing_date,abstract
1,AI in production: A game changer for manufacturers with heavy assets,https://www.mckinsey.com/business-functions/mckinsey-analytics/our-insights/ai-in-production-a-game-changer-for-manufacturers-with-heavy-assets#,,,,,,
2,"Modeling and optimization of the electrical discharge
machining process based on a combined articial neural
network and particle swarm optimization algorithm",http://scientiairanica.sharif.edu/article_21299_7178257779f1119484087880ef786335.pdf, Scientia Iranica," Masoud Azadi Moghaddam,Farhad Kolahan ", Transactions B: Mechanical Engineering , 10.24200/sci.2019.5152.1123 , 21/09/2017 ," In this study, the Electrical Discharge Machining (EDM) process, which is extensively employed in different manufacturing processes such as mold/die making industries, was modeled and optimized using Artificial Neural Network (ANN) and Particle Swarm Optimization (PSO) algorithm."
3,AI Visual Inspection For Defect Detection,https://mobidev.biz/blog/ai-visual-inspection-deep-learning-computer-vision-defect-detection,,,,,,
4,Impact of Internet of Things (IoT) on Supply Chain Management,https://www.digiteum.com/iot-supply-chain/,,,,,,
5,Industry 4.0: Smart Scheduling,https://www.researchgate.net/publication/326823239_Industry_40_Smart_Scheduling,  journal , International Journal of Production Research," Daniel Rossit, Fernando Tohmé , Mariano Frutos", 10.1080/00207543.2018.1504248, 08/2018," Smart Manufacturing and Industry 4.0 production environments integrate the physical and decisional aspects of manufacturing processes into autonomous and decentralised systems. One of the main aspects in these systems is production planning, in particular scheduling operations on machines. We introduce here a new decision-making schema, Smart Scheduling, intended to yield flexible and efficient production schedules on the fly, taking advantage of the features of these new environments. The ability to face unforeseen and disruptive events is one of the main improvements in our proposed schema, which uses an efficient screening procedure (Tolerance Scheduling) to lessen the need of rescheduling in the face of those events."
6,"Logistic Industry
Innovations with IoT",https://www.digiteum.com/internet-of-things-logistics/,,,,,,
7,How To Apply Machine Learning To Demand Forecasting,https://mobidev.biz/blog/machine-learning-methods-demand-forecasting-retail,,,,,,
8,Embedded Vision Applications in Supply Chain Management,"https://www.visiononline.org/blog-article.cfm/Embedded-Vision-Applications-in-Supply-Chain-Management/110#:~:text=Embedded%20vision%20technology%20is%20finding%20use%20throughout%20the%20supply%20chain%20management%20process.&text=In%20a%20variety%20of%20forms,the%20process%20of%20moving%20goods.",,,,,,
9,Edge Computing Opportunities,https://stlpartners.com/edge-computing/edge-insights-service/,,,,,,
10,Predictive maintenance with the intelligent IoT Edge,https://docs.microsoft.com/en-us/azure/architecture/example-scenario/predictive-maintenance/iot-predictive-maintenance,,,,,,
11,"Predictive maintenance
in the Electronics Industry",https://www.st.com/content/dam/artificial-intelligence/edge-ai/stmicroelectronics-stlivedays-low-power-predictive-maintenance-Lacroix-marketing-presentation-2171.pdf,,,,,,
12,5G: POWERING A CONNECTED FUTURE,https://www.merckgroup.com/en/research/science-space/envisioning-tomorrow/smarter-connected-world/5g.html,,,,,,
13,Smart PPE and IoT to improve workplace safety,https://www.insightsip.com/news/what-s-new/606-smart-ppe-and-iot-to-improve-workplace-safety,,,,,,
