index,name,parent,articles,category
0,Process Optimization, ,,Problems
1,Equipment and Process Efficiency Improvement , Process Optimization, ,Problems
2,Real-time Production and Process Monitoring Analysis and Supervision ,Equipment and Process Efficiency Improvement,"12,16,22,23,25,34,38,39,45,47,48,49,56,67,71,72,73,77,79,86,87,92,99,113,115,121,127,128,137,153,159,163,165,166,167,168,170,172,173,179,185,186,188,191,192,193,196,197,199,206,213,215,216,217,219,220,223,226,229,230,231,244,245,246,248,249,251,253,262,266,270,271,273,278,282,284,286,287,289,295,298,300,313,314,315,316,320,325,326,329,330,334,335,336,343,346,347,348,351,354,355,356,357,358,359,366,368,371,372,373,374,375,378,379,380,381,382,384,386,404,407,408,409,410,410,412,406,424,427,434,437",Problems
3,Predictive Maintenance ,Equipment and Process Efficiency Improvement,"5,10,10,11,12,22,26,33,31,34,42,43,53,54,57,58,59,63,68,69,71,72,74,80,82,86,90,94,99,107,111,112,114,116,119,120,121,133,139,140,146,152,157,158,159,166,179,183,184,185,191,192,197,200,202,207,209,211,213,223,238,253,255,267,268,274,275,279,282,284,291,296,301,308,327,330,332,342,345,349,352,353,363,400,404,404,405,406,407,408,409,410,411,412,413,415,419,421,427,427,429,431,432",Problems
4,Production Planning and Scheduling ,Equipment and Process Efficiency Improvement,"2,90,131,252,269,293,321,377,407,410,424,439,442",Problems
5,Fully Automated Production Facilities , Equipment and Process Efficiency Improvement,"50,78,85,88,91,92,97,105,110,126,130,132,133,135,136,143,144,164,166,194,218,259,281,284,286,287,298,337,350,404,410,412,440 ",Problems
6,Legacy Systems Modernization and Retrofitting ,Equipment and Process Efficiency Improvement  ,"206,267,273,288,290,292,302,303,304,305,307,312,322,323,324,333,339,344,360,395,403 ",Problems
7,Commissioning Process ,Equipment and Process Efficiency Improvement,"123,124,125,142,218,404,412",Problems
8,Worker Safety Improvement and Accident Prevention , Process Optimization,"10,117,178,221,231,258,404,404,405,407,420,422,424,430,433,436",Problems
9,Smart PPE , Worker Safety Improvement and Accident Prevention,13 ,Problems
10,Worker Attention and Mental State Monitoring , Worker Safety Improvement and Accident Prevention,"51,88,105,129,415 ",Problems
11,People Counting Analysis and Crowd Detection , Worker Safety Improvement and Accident Prevention,"21,29,405",Problems
12,Remote Operation , Worker Safety Improvement and Accident Prevention,"85,133",Problems
13,Supply Chain , Process Optimization,"418,422",Problems
14,Vertical Integration ,Supply Chain ,"22,64,66,80,112,182,188,249,250,269,273,297,417",Problems
15,Horizontal Integration ,Supply Chain ,"22,52,176,250,269,283,297,319,341,367,417",Problems
16,Production on Demand ,Supply Chain ,"1,2,4,69,174,205,262,264,286,404,407",Problems
17,Smart Warehouse and Inventory Management ,Supply Chain ,"15,17,18,19,20,21,22,23,25,37,38,49,60,61,74,81,95,100,214,224,265,267,269,286,296,311,317,337,404,406,415,416,420,428,432,435",Problems
18,Intralogistics 4.0 - Material Flow Control ,Supply Chain ,"40,41,74,147,167,218,263,265,269,272,385,417",Problems
19,Supply Chain Transparency and Reliability Improvement ,Supply Chain ,"6,8,10,18,20,23,166,167,254,256,265,285,318,319,410,414,416,427,428",Problems
20,Production Output and Demand Forecasting ,Supply Chain ,"404,431,431,438",Problems
21,Mass Customization ,Process Optimization,"21,69,75,89,91,107,108,128,132,155,161,212,218,234,406,410,429,440",Problems
22,Quality Assurance ,Process Optimization,"10,14,22,37,38,55,74,78,98,117,125,134,141,151,159,184,187,189,199,201,206,212,225,227,228,235,238,242,244,257,261,271,276,279,285,294,310,328,339,364,365,384,400,402,321,375,386,382,393,403,410,411,413,414,415,406,420,430,431,436",Problems
